CODGEO;LIBGEO;CS1_81_IMMI1_SEXE1;CS1_81_IMMI1_SEXE2;CS1_81_IMMI2_SEXE1;CS1_81_IMMI2_SEXE2;CS1_82_IMMI1_SEXE1;CS1_82_IMMI1_SEXE2;CS1_82_IMMI2_SEXE1;CS1_82_IMMI2_SEXE2;CS1_83_IMMI1_SEXE1;CS1_83_IMMI1_SEXE2;CS1_83_IMMI2_SEXE1;CS1_83_IMMI2_SEXE2;CS1_84_IMMI1_SEXE1;CS1_84_IMMI1_SEXE2;CS1_84_IMMI2_SEXE1;CS1_84_IMMI2_SEXE2;CS1_85_IMMI1_SEXE1;CS1_85_IMMI1_SEXE2;CS1_85_IMMI2_SEXE1;CS1_85_IMMI2_SEXE2;CS1_86_IMMI1_SEXE1;CS1_86_IMMI1_SEXE2;CS1_86_IMMI2_SEXE1;CS1_86_IMMI2_SEXE2;CS1_87_IMMI1_SEXE1;CS1_87_IMMI1_SEXE2;CS1_87_IMMI2_SEXE1;CS1_87_IMMI2_SEXE2;CS1_88_IMMI1_SEXE1;CS1_88_IMMI1_SEXE2;CS1_88_IMMI2_SEXE1;CS1_88_IMMI2_SEXE2
1001;L'Abergement-Clémenciat;5;5;5;0;0;0;15;5;0;0;50;25;0;0;45;50;0;5;15;80;10;0;85;30;0;0;75;70;0;0;80;110
1002;L'Abergement-de-Varey;0;0;0;0;0;0;15;5;0;0;5;10;5;0;0;20;0;0;15;25;0;0;10;0;0;0;44;20;0;0;49;34
1004;Ambérieu-en-Bugey;2;1;0;0;43;20;180;92;15;16;416;297;33;23;895;825;51;79;486;1302;272;80;1119;350;134;98;1111;1534;152;343;1869;2186
1005;Ambérieux-en-Dombes;0;0;5;0;5;0;45;10;0;0;70;35;5;0;106;121;0;15;25;201;10;0;181;40;15;5;146;146;0;5;206;206
1006;Ambléon;0;0;0;0;0;0;0;0;0;0;0;5;5;0;10;10;0;0;5;10;0;0;10;5;0;0;10;15;0;0;15;5
1007;Ambronay;0;5;20;5;0;0;40;25;10;0;115;70;0;5;175;179;0;5;70;280;15;0;219;75;30;20;205;215;0;10;330;440
1008;Ambutrix;0;0;0;0;0;0;12;4;0;0;56;16;0;0;52;60;0;0;12;96;4;0;80;24;4;0;68;56;4;0;104;88
1009;Andert-et-Condon;0;0;4;0;0;0;12;0;0;0;8;8;0;0;12;12;0;0;4;32;0;4;36;16;0;0;56;32;4;4;56;40
1010;Anglefort;0;0;4;0;4;0;30;4;0;4;30;9;4;4;73;30;4;13;9;124;9;0;94;51;9;17;128;120;4;0;171;184
1011;Apremont;0;0;0;0;0;8;8;0;4;0;33;33;0;0;12;16;0;4;8;25;0;0;45;4;0;4;54;25;0;12;49;62
1012;Aranc;0;0;0;0;0;0;13;8;0;0;21;13;0;0;21;21;0;0;0;21;0;0;8;0;4;0;42;54;0;0;54;46
1013;Arandas;0;0;8;0;0;0;0;0;0;0;4;4;0;0;4;4;0;0;8;24;0;0;16;0;0;0;24;12;0;0;8;35
